sku,_attribute_set,_product_websites,_store,_type,_root_category,_category,name,short_description,description,price,size,color,url_key,has_options,required_options,status,tax_class_id,visibility,qty,is_in_stock,manage_stock,_super_products_sku,_super_attribute_code,_super_attribute_option
2011025460111,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レザー切り替えトップス/FREE/BLACK,（未使用）,（未使用）,12600,FREE,BLACK,2011025460111,0,0,1,4,1,1,1,1,,,
2011025460418,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,レザー切り替えトップス/FREE/BEIGE,（未使用）,（未使用）,12600,FREE,BEIGE,2011025460418,0,0,1,4,1,1,1,1,,,
2011026040114,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,3WAYキャミソール/FREE/BLACK,（未使用）,（未使用）,9350,FREE,BLACK,2011026040114,0,0,1,4,1,1,1,1,,,
2011026040411,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,3WAYキャミソール/FREE/BEIGE,（未使用）,（未使用）,9350,FREE,BEIGE,2011026040411,0,0,1,4,1,1,1,1,,,
2011026040510,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,3WAYキャミソール/FREE/GRAY,（未使用）,（未使用）,9350,FREE,GRAY,2011026040510,0,0,1,4,1,1,1,1,,,
2011026060112,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ギャザースリーブブラウス/FREE/BLACK,（未使用）,（未使用）,12600,FREE,BLACK,2011026060112,0,0,1,4,1,1,1,1,,,
2011026060211,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ギャザースリーブブラウス/FREE/WHITE,（未使用）,（未使用）,12600,FREE,WHITE,2011026060211,0,0,1,4,1,1,1,1,,,
2011026060419,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,ギャザースリーブブラウス/FREE/BEIGE,（未使用）,（未使用）,12600,FREE,BEIGE,2011026060419,0,0,1,4,1,1,1,1,,,
2011026540416,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バイカラードチュニック/FREE/BEIGE,（未使用）,（未使用）,12600,FREE,BEIGE,2011026540416,0,0,1,4,1,1,1,1,,,
2011026540515,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バイカラードチュニック/FREE/GRAY,（未使用）,（未使用）,12600,FREE,GRAY,2011026540515,0,0,1,4,1,1,1,1,,,
2011026550118,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バックジップトップス/FREE/BLACK,（未使用）,（未使用）,10290,FREE,BLACK,2011026550118,0,0,1,4,1,1,1,1,,,
2011026550415,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バックジップトップス/FREE/BEIGE,（未使用）,（未使用）,10290,FREE,BEIGE,2011026550415,0,0,1,4,1,1,1,1,,,
2011026550712,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,バックジップトップス/FREE/BLUE,（未使用）,（未使用）,10290,FREE,BLUE,2011026550712,0,0,1,4,1,1,1,1,,,
2011026680112,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,キャミソール/FREE/BLACK,（未使用）,（未使用）,3990,FREE,BLACK,2011026680112,0,0,1,4,1,1,1,1,,,
2011026680211,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,キャミソール/FREE/WHITE,（未使用）,（未使用）,3990,FREE,WHITE,2011026680211,0,0,1,4,1,1,1,1,,,
2011026680419,属性セット（標準）,dannyanne,,simple,Danny&Anne,トップス,キャミソール/FREE/BEIGE,（未使用）,（未使用）,3990,FREE,BEIGE,2011026680419,0,0,1,4,1,1,1,1,,,
